0.75 0.1018746554100274 2.243331422101716 18
1.5 0.5001902199481375 36.65256569485332 62
2.25 1.541136273645968 130.6598375587649 98
3 3.626657740086848 300.7577470321002 210
3.75 7.382091300396536 764.7959245730636 350
4.5 11.56635931554689 956.7707138232311 450
5.25 15.64287094834611 1876.423579982701 602
6 22.61714338415344 2557.42758054579 762
6.75 37.61023052565288 4379.65037516311 1142
7.5 44.26551802336768 5846.021365324239 1250
8.25 56.90901086875147 8457.251259262241 1458
9 72.85665480605876 11160.9907813963 1814
9.75 89.1983574136305 15216.81726347378 2178
10.5 100.8649474522323 20438.19189716096 2498
11.25 122.6870850242828 23862.83025804558 2622
12 145.8728722614365 33837.18177827958 3338
12.75 172.7329061877626 42188.85416360341 3722
13.5 193.101060580352 50953.10838283255 4170
14.25 207.0750531284741 59061.01222528206 4358
15 241.3746956938986 75646.79892213746 5034
15.75 286.0982557997249 94395.83212768141 5714
16.5 290.1520487935784 106428.1609004139 5982
17.25 323.4640326345135 124828.6106148775 6602
18 362.8625790545934 146388.328036543 7130
18.75 400.2909363772775 169286.111976256 8034
19.5 432.9332957846958 206537.0083751449 8606
20.25 467.3659466970485 223973.9960340111 9066
21 507.5246096874222 271386.606557607 9962
21.75 542.4531406955422 307778.8628086824 10550
22.5 591.4018310503634 344682.7503669057 11226
23.25 633.9307183869581 399544.8523804152 12146
24 648.4129929701373 424256.2002245606 12303
24.75 679.3814932986317 463306.3371213682 12584
25.5 639.2935700278638 475614.8618944144 12120
26.25 597.7822317721119 448108.031877333 11180
27 599.7449600554303 472045.4523424226 11096
27.75 532.7772289245497 443068.3606916265 10056
28.5 521.897583143116 440140.2476033903 9716
29.25 467.1344157010741 425240.6926531176 8604
30 438.685626402453 408562.9755326802 8060
30.75 393.5203636071479 386352.2159067376 7320
31.5 338.5156106167669 365295.4092740078 6356
32.25 294.1185307818096 323905.4425279483 5348
33 232.0002888499716 253736.0063266326 4308
33.75 194.8042080213008 217164.4232422553 3563
34.5 129.1962398959357 156504.109470716 2448
35.25 103.1211049809333 124590.4131251484 1868
36 73.71146612484965 90045.46408871937 1358
36.75 57.65178124777291 82548.63356681324 1062
37.5 42.93683139066871 56296.12122369607 776
38.25 22.77403166511307 33135.04725278812 432
39 9.724910248572652 13297.73163218207 200
39.75 8.570408653023117 9002.263865328159 168
40.5 2.186069999719916 2606.065432580141 56
41.25 0.1780765850219998 88.58335451534397 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
