0.75 1.514878444119147 0.1236906877554186 18
1.5 2.240944348132947 5.596436362364155 62
2.25 5.614760675791737 21.65579482497642 98
3 12.21629314343423 81.3482807615562 210
3.75 18.31575578018309 248.7926842670279 350
4.5 24.6609840543624 518.6609318457394 450
5.25 35.32193569654733 863.5832673669419 602
6 39.77714303305047 1482.025095559201 762
6.75 66.98647991434642 2818.793680823945 1142
7.5 68.12826877363059 3642.634264941421 1250
8.25 85.10682230831272 5196.40656173877 1458
9 99.74130946870645 8122.3427625298 1814
9.75 120.975670840925 11497.56141207392 2178
10.5 136.8101231858368 15400.69712976748 2498
11.25 142.2404097631845 18300.97422955398 2622
12 185.1168559913096 26108.19772794827 3338
12.75 214.6587946388431 34084.77023043419 3722
13.5 240.3411868853764 41433.97159972526 4170
14.25 245.3402456126203 48535.29587326221 4358
15 288.8979620908747 60914.07393177527 5034
15.75 314.416941273817 79667.43369846258 5714
16.5 334.8108543688617 90401.24904314234 5982
17.25 371.1525645435432 109231.0084728292 6602
18 405.4818901699093 130495.7221434058 7130
18.75 455.0118981512684 154799.4383715378 8034
19.5 495.7620267166855 181905.2503529963 8606
20.25 507.0160690350043 209085.5290800615 9066
21 572.0822147021179 243660.4150351079 9962
21.75 592.7097169137948 275428.9418008376 10550
22.5 649.3063218297332 316585.7246812537 11226
23.25 671.0307621780778 365682.2673652695 12146
24 688.618295878282 388122.8492411477 12303
24.75 716.9988273982522 428131.6215889755 12584
25.5 690.316688791239 436098.207547611 12120
26.25 637.557333959311 422863.6238909707 11180
27 620.7925551996632 446115.0461489614 11096
27.75 569.8120969576489 429695.7072907505 10056
28.5 538.7301956671 420798.9098725141 9716
29.25 477.0848468011554 401774.3932816171 8604
30 453.144049366471 397267.4431584712 8060
30.75 417.3744012200808 372056.9484564283 7320
31.5 366.6133425280441 344916.3598878843 6356
32.25 309.9342117459639 298449.2354397508 5348
33 239.9627747025003 253279.2591556432 4308
33.75 199.9855058041758 204399.8283843884 3563
34.5 140.3969315052547 147950.5091376631 2448
35.25 107.7073860292528 118885.2931981395 1868
36 75.56384901109567 90267.55555201914 1358
36.75 64.27921237837495 72930.48170974385 1062
37.5 39.80370235528365 53047.44115056718 776
38.25 25.92595724704272 32186.57689273143 432
39 10.6779988755089 17175.75389748005 200
39.75 8.533219980226376 11363.42849022689 168
40.5 2.135225058493281 2580.088146233032 56
41.25 0.2768021204935552 499.7863665253121 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
35.25 -nan -nan 1868
36 -nan -nan 1358
36.75 -nan -nan 1062
37.5 -nan -nan 776
38.25 -nan -nan 432
39 -nan -nan 200
39.75 -nan -nan 168
40.5 -nan -nan 56
41.25 -nan -nan 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
