0.75 4.363164369804537e-18 4.082374955332612e-15 0.4709936032519262 18
1.5 2.396671455151224e-17 2.295526801807586e-14 0.5897853134845521 62
2.25 2.843910616759205e-17 2.667955095278788e-14 0.4496588931319309 98
3 7.056431192894545e-17 6.749426130247062e-14 0.4616323887718423 210
3.75 1.077542819672486e-16 1.060215177162309e-13 0.4800069968402724 350
4.5 1.525289865708828e-16 1.477552610071927e-13 0.5202166987913388 450
5.25 2.085016998823125e-16 2.026400333234201e-13 0.5217089854342115 602
6 2.495402753584499e-16 2.372698846795041e-13 0.4901693802745769 762
6.75 3.861099493925983e-16 3.85830224163639e-13 0.5119862789751695 1142
7.5 4.120139638575848e-16 4.152023001079952e-13 0.5069906766439658 1250
8.25 4.581257590026126e-16 4.655419477670448e-13 0.4903444729914918 1458
9 6.194963359520023e-16 6.374176968629649e-13 0.5269529121745862 1814
9.75 7.297406331366293e-16 7.611402049298269e-13 0.5141176774000137 2178
10.5 8.512419014532914e-16 8.972272651183791e-13 0.5162054892803809 2498
11.25 8.681353047932195e-16 9.292715653259461e-13 0.5135882979903661 2622
12 1.066835856734296e-15 1.165632406425994e-12 0.5143060522813049 3191
12.75 9.99608589176057e-16 1.117001737369067e-12 0.5048722905376642 3044
13.5 9.096227109721372e-16 1.015191648595677e-12 0.5034948273791813 2736
14.25 7.425351764417438e-16 8.513282216554811e-13 0.5025874048080199 2276
15 6.851542009214135e-16 7.847801231935812e-13 0.5052110807848064 2016
15.75 5.757465280757964e-16 6.732638829997108e-13 0.5215793328912403 1640
16.5 3.825391958095526e-16 4.458543499035722e-13 0.52934409898276 1056
17.25 2.268068333065881e-16 2.867615308295808e-13 0.483090078575337 683
18 1.205794372239005e-16 1.392715845004497e-13 0.4928188042314972 350
18.75 6.631134197512509e-17 8.571030168888542e-14 0.494342119333282 192
19.5 1.717307035960237e-17 2.404118467487757e-14 0.5863066997963202 44
20.25 5.810835551650192e-18 5.986017553735533e-15 0.3216936929811147 25


0.75 -nan -nan -nan 18
1.5 -nan -nan -nan 62
2.25 -nan -nan -nan 98
3 -nan -nan -nan 210
3.75 -nan -nan -nan 350
4.5 -nan -nan -nan 450
5.25 -nan -nan -nan 602
6 -nan -nan -nan 762
6.75 -nan -nan -nan 1142
7.5 -nan -nan -nan 1250
8.25 -nan -nan -nan 1458
9 -nan -nan -nan 1814
9.75 -nan -nan -nan 2178
10.5 -nan -nan -nan 2498
11.25 -nan -nan -nan 2622
12 -nan -nan -nan 3191
12.75 -nan -nan -nan 3044
13.5 -nan -nan -nan 2736
14.25 -nan -nan -nan 2276
15 -nan -nan -nan 2016
15.75 -nan -nan -nan 1640
16.5 -nan -nan -nan 1056
17.25 -nan -nan -nan 683
18 -nan -nan -nan 350
18.75 -nan -nan -nan 192
19.5 -nan -nan -nan 44
20.25 -nan -nan -nan 25


0.75 -nan -nan -nan 18
1.5 -nan -nan -nan 62
2.25 -nan -nan -nan 98
3 -nan -nan -nan 210
3.75 -nan -nan -nan 350
4.5 -nan -nan -nan 450
5.25 -nan -nan -nan 602
6 -nan -nan -nan 762
6.75 -nan -nan -nan 1142
7.5 -nan -nan -nan 1250
8.25 -nan -nan -nan 1458
9 -nan -nan -nan 1814
9.75 -nan -nan -nan 2178
10.5 -nan -nan -nan 2498
11.25 -nan -nan -nan 2622
12 -nan -nan -nan 3191
12.75 -nan -nan -nan 3044
13.5 -nan -nan -nan 2736
14.25 -nan -nan -nan 2276
15 -nan -nan -nan 2016
15.75 -nan -nan -nan 1640
16.5 -nan -nan -nan 1056
17.25 -nan -nan -nan 683
18 -nan -nan -nan 350
18.75 -nan -nan -nan 192
19.5 -nan -nan -nan 44
20.25 -nan -nan -nan 25


0.75 -nan -nan -nan 18
1.5 -nan -nan -nan 62
2.25 -nan -nan -nan 98
3 -nan -nan -nan 210
3.75 -nan -nan -nan 350
4.5 -nan -nan -nan 450
5.25 -nan -nan -nan 602
6 -nan -nan -nan 762
6.75 -nan -nan -nan 1142
7.5 -nan -nan -nan 1250
8.25 -nan -nan -nan 1458
9 -nan -nan -nan 1814
9.75 -nan -nan -nan 2178
10.5 -nan -nan -nan 2498
11.25 -nan -nan -nan 2622
12 -nan -nan -nan 3191
12.75 -nan -nan -nan 3044
