0.75 0.0002189183439496178 0.5286414923931608 18
1.5 0.002247731185216525 7.042126151687406 62
2.25 0.005535609372585897 13.07173630583236 98
3 0.01031713505263775 47.84553059689734 210
3.75 0.0213244904462975 87.7464033290693 350
4.5 0.03741363485959096 154.8950736234548 450
5.25 0.05327664087638762 239.1853669644469 602
6 0.08369984855947822 353.2878849977548 762
6.75 0.1265065966388604 547.1970482125453 1142
7.5 0.1623689977111856 691.8485018346867 1250
8.25 0.1957468111675399 861.5779041709761 1458
9 0.2914461952089402 1214.372750496104 1814
9.75 0.3611572781790589 1549.284670460519 2178
10.5 0.448655349411013 2020.479309801229 2498
11.25 0.4995678907772849 2153.151118782725 2622
12 0.6816675323316683 2904.203966477738 3338
12.75 0.7929081264991772 3499.084995854833 3722
13.5 0.9584824574536359 4167.773827658961 4170
14.25 1.056259472601853 4639.775639086189 4358
15 1.229503581402354 5784.600527798546 5034
15.75 1.464852073026737 6737.425945991772 5714
16.5 1.621706378914071 7465.481756242373 5982
17.25 1.870655134533176 8542.355593163344 6602
18 2.099432955336167 10038.75871304707 7130
18.75 2.457064227390195 11705.93991932089 8034
19.5 2.768224337103221 13324.24607641645 8606
20.25 2.872212827454704 14134.93576460432 9066
21 3.415926281749889 16233.53091038198 9962
21.75 3.662053752597944 17847.62730904863 10550
22.5 3.970429931265848 19977.33647389084 11226
23.25 4.339532801341661 22418.96626201423 12146
24 4.70204348588901 23728.53502333938 12303
24.75 5.016436445146218 24966.23487457515 12584
25.5 4.873092700125166 24516.49438803095 12120
26.25 4.752244317619422 22657.19302668333 11180
27 4.735029812499464 23734.91633383679 11096
27.75 4.33370444046519 22441.68822132578 10056
28.5 4.270610600778687 21714.58985497955 9716
29.25 3.792981560370386 19969.0423983917 8604
30 3.800985073313065 19983.33381647471 8060
30.75 3.427674810553826 18927.90151023538 7320
31.5 3.085749767224665 16227.79008098283 6356
32.25 2.608601878127257 13982.76885062454 5348
33 2.234283468082344 11286.42476306459 4308
33.75 1.814415373330526 8911.564102303584 3563
34.5 1.266606067365349 6956.352261917341 2448
35.25 1.013966656256455 5115.078887404692 1868
36 0.7500268709080437 3827.584925080232 1358
36.75 0.6036372803378276 3227.927583335991 1062
37.5 0.4478444409590033 2446.502675872971 776
38.25 0.2516887492244644 1292.83845492769 432
39 0.1093795016266846 504.9577643149987 200
39.75 0.09712907853736553 561.9004133511133 168
40.5 0.03041366636939166 124.1810599938697 56
41.25 0.00195372355403663 21.09342930579768 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
35.25 -nan -nan 1868
36 -nan -nan 1358
36.75 -nan -nan 1062
37.5 -nan -nan 776
38.25 -nan -nan 432
39 -nan -nan 200
39.75 -nan -nan 168
40.5 -nan -nan 56
41.25 -nan -nan 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
