0.75 0.001736592248665713 0.0006389988734658012 18
1.5 0.006625485413475202 0.01218987718287549 62
2.25 0.01186777423073658 0.06255648341997719 98
3 0.02515578731722111 0.2001969471403235 210
3.75 0.03710870481123284 0.5064588854186811 350
4.5 0.04986770902274371 0.9619686771785571 450
5.25 0.0684848201621598 1.71453969206914 602
6 0.07871373074926134 3.101277795450277 762
6.75 0.133149495470199 5.645629056393092 1142
7.5 0.146828366171079 7.179391154181676 1250
8.25 0.1561268693138569 9.799693260327039 1458
9 0.2198979236892478 15.87479084535689 1814
9.75 0.2436684622720333 22.60433879700041 2178
10.5 0.2873335448585104 29.78604079189948 2498
11.25 0.2901068801443225 37.5165455543907 2622
12 0.3789259034822289 50.83956633302234 3338
12.75 0.4165160716310323 65.74201986077813 3722
13.5 0.4755632748070487 85.41262798140725 4170
14.25 0.5138669966915996 99.45551820609624 4358
15 0.5857884503222248 124.1262692689255 5034
15.75 0.6655259670826966 158.5919895510164 5714
16.5 0.68827375236235 175.7455361098924 5982
17.25 0.7531412014235216 213.5658627516155 6602
18 0.8278136445853392 253.2583323849362 7130
18.75 0.8901473684652796 304.3296922639726 8034
19.5 0.9577535398944355 359.5352294925185 8606
20.25 1.031566181421503 413.8587499142162 9066
21 1.159645520203364 482.4461093277795 9962
21.75 1.20497249004354 555.6883310641124 10550
22.5 1.307437382116979 633.9914708235773 11226
23.25 1.397305710096322 713.276781557945 12146
24 1.374503366789492 787.6018517373338 12303
24.75 1.412470956157281 876.334716012063 12584
25.5 1.362717001969615 902.7715820580497 12120
26.25 1.254575899856096 873.0817953997743 11180
27 1.290865531394524 912.281295884831 11096
27.75 1.127113738750981 865.6033382698789 10056
28.5 1.125268671897853 868.5842822483613 9716
29.25 0.975333657721645 826.8464394810456 8604
30 0.9346502161196308 801.7203458799519 8060
30.75 0.8366475233184422 742.0520347586141 7320
31.5 0.7074945598796984 712.0728117796787 6356
32.25 0.6114315107781887 615.5410737955318 5348
33 0.4932555621572766 505.9906801185804 4308
33.75 0.4103320839346075 428.6616182396055 3563
34.5 0.2683658338507088 301.0883936511735 2448
35.25 0.2077366248092054 228.0641439132083 1868
36 0.1550606997053052 171.8077967530173 1358
36.75 0.1222183431397525 148.5115124762494 1062
37.5 0.09435223047892573 112.6898632005217 776
38.25 0.05194932997380979 63.96777105349728 432
39 0.01918234786637786 22.08154327420245 200
39.75 0.02146593332161806 24.46504386361598 168
40.5 0.007254196396355102 5.416950074701854 56
41.25 0.0004347162349274476 0.2398992664040948 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
35.25 -nan -nan 1868
36 -nan -nan 1358
36.75 -nan -nan 1062
37.5 -nan -nan 776
38.25 -nan -nan 432
39 -nan -nan 200
39.75 -nan -nan 168
40.5 -nan -nan 56
41.25 -nan -nan 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
