3 3.973962062364862e-12 7.790338115364988e-11 0.7663394832814154 18
6 2.609677922154098e-11 6.225741972407877e-10 0.6600866078149965 62
9 2.803441469944729e-11 2.598109963475816e-09 0.7644575376808734 98
12 6.486222501307426e-11 8.248084240974498e-09 0.6810907063853811 210
15 9.590923544526946e-11 2.44001177996702e-08 0.7545241536215006 350
18 6.171597523477909e-11 2.131229500742057e-08 0.3626775481238188 450
21 9.185415568686223e-33 1.749889672518275e-33 3.974075305351701e-24 602
24 2.242189913798894e-32 2.767127575793984e-33 7.588649451855648e-24 762
27 2.004333365244579e-32 1.352030342596739e-32 4.534347156467652e-24 1142
30 2.584989755127683e-32 9.56042940251912e-33 5.351511996089645e-24 1250
33 2.552080371428421e-32 7.847779621982676e-33 4.509191222948707e-24 1458
36 6.217037170706903e-32 9.848974165110624e-33 8.793651801177028e-24 1814
39 2.799624960326872e-32 1.313374568119693e-32 3.300710962606088e-24 2178
42 3.399947976938816e-32 2.426349037702547e-32 3.494927995013581e-24 2498
45 3.884227923067432e-32 1.272881009593401e-32 3.792012082287253e-24 2622
48 4.131308073005402e-32 1.491624982169026e-32 3.308307357963567e-24 3191
51 4.578313362040902e-32 1.356714599960959e-32 3.84532325349931e-24 3044
54 3.32525970213395e-32 1.35210829503393e-32 3.109566916654752e-24 2736
57 2.463843835790546e-32 8.64214104308105e-33 2.765747533087199e-24 2276
60 1.984176132118013e-32 8.641786057651592e-33 2.51180546153876e-24 2016
63 2.463539918944899e-32 7.122345754837215e-33 3.834585341152248e-24 1640
66 1.377703990253303e-32 5.297748931574516e-33 3.32932698288067e-24 1056
69 9.689900932626962e-33 3.351077534264041e-33 3.618340722337354e-24 683
72 4.47204614420033e-33 1.624568171546209e-33 3.263145754514522e-24 350
75 4.28080325511773e-33 9.738438756329234e-34 5.699292186548772e-24 192
78 9.474544255912069e-34 3.837034057705141e-34 5.48933626197223e-24 44
81 8.80606796315577e-34 3.33758516280213e-34 8.91140440559461e-24 25


3 1.494651576727109e-13 5.819276481252036e-12 0.5120560057228265 18
6 8.192836784719498e-13 6.429591376300084e-11 0.6498321932253469 62
9 1.33379453294289e-12 1.542919325644378e-10 0.5767889225170574 98
12 2.842070028786044e-12 5.458373270438419e-10 0.6124872302835578 210
15 5.708067376965521e-12 1.19484800196963e-09 0.5883013059938416 350
18 3.387219977561263e-12 1.144185484918657e-09 0.3121970496801758 450
21 2.002278404920898e-33 8.880098685923017e-31 1.394951801212185e-22 602
24 2.5490463255099e-33 1.590195173412128e-30 1.541156686221604e-22 762
27 4.726193150080931e-33 2.647258628155639e-30 1.44245621177371e-22 1142
30 4.989591169916696e-33 3.781168828186679e-30 1.519647410164172e-22 1250
33 7.57537201617721e-33 5.293965084194089e-30 1.576248716295034e-22 1458
36 7.993321894892858e-33 8.054705778488814e-30 1.583419742404332e-22 1814
39 9.448222193838754e-33 1.052088458776252e-29 1.499191561100128e-22 2178
42 1.271403772228258e-32 1.400718295152044e-29 1.542501413071485e-22 2498
45 1.451468892705065e-32 1.724126417741459e-29 1.594000614003664e-22 2622
48 1.705910177650962e-32 2.447636480629112e-29 1.623259682366008e-22 3191
51 1.670015085481111e-32 2.379756415050311e-29 1.510671334710459e-22 3044
54 1.744047443355825e-32 2.540588831108364e-29 1.625475904168237e-22 2736
57 1.284790956623962e-32 2.285367234713568e-29 1.556093156048251e-22 2276
60 1.177773390480792e-32 2.221856805963497e-29 1.558044527152385e-22 2016
63 1.02447451272281e-32 2.04615413092664e-29 1.617012159394161e-22 1640
66 6.959981405757732e-33 1.491660045611873e-29 1.676331100424749e-22 1056
69 4.270986061036065e-33 1.077240212739883e-29 1.68675376540663e-22 683
72 2.352967613637288e-33 6.195910159969338e-30 1.753902543773601e-22 350
75 1.348143513193979e-33 3.500723250994993e-30 1.695585948984612e-22 192
78 3.342393176731823e-34 1.125383616238877e-30 2.13920158941099e-22 44
81 2.678289311771295e-34 4.306503831046539e-31 1.622361377556542e-22 25


3 1.89306059382158e-14 1.883281782697593e-12 0.4885011815414808 18
6 1.520368000005562e-13 1.33644919860268e-11 0.5352103779262432 62
9 2.056396240103908e-13 4.171318971080786e-11 0.4911792569028859 98
12 5.623344417691382e-13 1.127789520576066e-10 0.4625576430513594 210
15 9.000265672576908e-13 3.148910853495412e-10 0.5151188646824927 350
18 6.887466948225304e-13 2.332033756074675e-10 0.2438707484730718 450
21 5.375133898762056e-34 2.332998200161451e-31 1.436041039556068e-22 602
24 7.603459728891474e-34 3.765981301586748e-31 1.522120673864895e-22 762
27 1.127488422120715e-33 7.466094206765401e-31 1.624215482828263e-22 1142
30 1.120668968300669e-33 1.042415965661239e-30 1.684779812355918e-22 1250
33 1.486915851526458e-33 1.744243943562305e-30 2.028466731626767e-22 1458
36 2.023029980772979e-33 2.176552086197986e-30 1.841113282400246e-22 1814
39 2.508869011309686e-33 2.85767210726569e-30 1.781908059759996e-22 2178
42 3.22618450433151e-33 3.850381262312664e-30 1.879128151488801e-22 2498
45 3.689120076588567e-33 4.441249475176279e-30 1.841625250469251e-22 2622
48 4.229923003724554e-33 6.202459661421485e-30 1.868603842421581e-22 3191
51 4.30778950994286e-33 6.345558292328313e-30 1.835253248477118e-22 3044
54 4.237522859641423e-33 6.797933908141367e-30 1.977641020828805e-22 2736
57 3.351446810220903e-33 5.981965310133258e-30 1.893391858435648e-22 2276
60 2.966781441726409e-33 5.930060145154727e-30 1.921570557020646e-22 2016
