0.75 0.0006740228390680194 0.0004313980758797772 18
1.5 0.007171528911249845 0.01182087884197867 62
2.25 0.01092362412602754 0.04811080279673066 98
3 0.02567156666823223 0.2164647576099454 210
3.75 0.03797037452129116 0.5650570803732466 350
4.5 0.04972730770223573 0.9548548068345051 450
5.25 0.06154091959618894 1.777081872578754 602
6 0.08565851809500211 3.171580667304067 762
6.75 0.1317758151983712 5.821923827825789 1142
7.5 0.1309398501869405 7.529014246903973 1250
8.25 0.1640336486441806 10.64682865366814 1458
9 0.1932961964812003 16.42739003076804 1814
9.75 0.2471050812832414 23.87366329437568 2178
10.5 0.2832904121081119 29.77338936152399 2498
11.25 0.3063687632889032 36.05023671526207 2622
12 0.3854902465035617 51.91646866276126 3338
12.75 0.4271002111132282 66.77940659038745 3722
13.5 0.4742482436441396 86.03578246342084 4170
14.25 0.4800065348897014 102.7175544567946 4358
15 0.5620572411548705 123.1735898788306 5034
15.75 0.6430420492106486 159.1540925764156 5714
16.5 0.6705214361159859 182.0103317739378 5982
17.25 0.7366802717329135 220.2055953169899 6602
18 0.7996509403255863 257.7025441394117 7130
18.75 0.9105090123588708 310.5898186132265 8034
19.5 0.9793631234664639 363.7702605167094 8606
20.25 1.011958843736398 411.4298917038658 9066
21 1.151178394416756 490.0565769449493 9962
21.75 1.19748094782572 553.5665295158602 10550
22.5 1.276750230749355 640.513137205472 11226
23.25 1.387655354785022 728.1461281734225 12146
24 1.355965196891804 757.1485908521612 12303
24.75 1.421934526080161 829.9126678800983 12584
25.5 1.383446378617976 879.9353672512532 12120
26.25 1.260398703159813 848.1905508491268 11180
27 1.265546794327762 889.8194560298854 11096
27.75 1.110541994541661 838.3465986470502 10056
28.5 1.09992322272882 859.9766796240391 9716
29.25 0.9778920403251218 809.0552089393136 8604
30 0.9179433113863551 796.3411778761291 8060
30.75 0.8164304642464842 750.5399281369491 7320
31.5 0.7207906136599415 682.1363853404536 6356
32.25 0.613061992897269 586.5470502893018 5348
33 0.5035341327258798 500.627980791071 4308
33.75 0.3935973009447666 422.0147184065735 3563
34.5 0.2879410291729006 302.2079631559319 2448
35.25 0.2234562631430723 235.4014203474821 1868
36 0.1517130875397663 161.0907849876234 1358
36.75 0.123057819517698 160.4267937769754 1062
37.5 0.08967485214305759 118.3140850191135 776
38.25 0.05497462761271343 60.01427127931996 432
39 0.02022783319894568 24.73244220762941 200
39.75 0.0201649596460968 27.27410547839574 168
40.5 0.005891498337119293 5.613869615565989 56
41.25 0.0001582586886205776 0.6517403139543649 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
35.25 -nan -nan 1868
36 -nan -nan 1358
36.75 -nan -nan 1062
37.5 -nan -nan 776
38.25 -nan -nan 432
39 -nan -nan 200
39.75 -nan -nan 168
40.5 -nan -nan 56
41.25 -nan -nan 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
35.25 -nan -nan 1868
36 -nan -nan 1358
36.75 -nan -nan 1062
37.5 -nan -nan 776
38.25 -nan -nan 432
39 -nan -nan 200
39.75 -nan -nan 168
40.5 -nan -nan 56
41.25 -nan -nan 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
35.25 -nan -nan 1868
36 -nan -nan 1358
36.75 -nan -nan 1062
37.5 -nan -nan 776
38.25 -nan -nan 432
39 -nan -nan 200
39.75 -nan -nan 168
40.5 -nan -nan 56
41.25 -nan -nan 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
29.25 -nan -nan 8604
30 -nan -nan 8060
30.75 -nan -nan 7320
31.5 -nan -nan 6356
32.25 -nan -nan 5348
33 -nan -nan 4308
33.75 -nan -nan 3563
34.5 -nan -nan 2448
