0.75 3.778665222136105e-38 5.072615882237037e-16 0.4429253052444232 18
1.5 2.793163592890428e-37 3.749643106793841e-15 0.4849555554423164 62
2.25 5.717268773701455e-37 7.675066903397226e-15 0.3688671475629979 98
3 1.67255518620603e-36 2.245298141761344e-14 0.4580122812322962 210
3.75 3.935845132620469e-36 5.283619838380691e-14 0.5051039963339555 350
4.5 4.855861605501505e-36 6.518682988457862e-14 0.4841884070161859 450
5.25 8.893621613045915e-36 1.193911701463142e-13 0.5433498670185121 602
6 1.146290465464897e-35 1.53882148299322e-13 0.4864643153672951 762
6.75 1.670203279791164e-35 2.242140858144645e-13 0.4642161289399868 1142
7.5 2.005299355543624e-35 2.691985863235384e-13 0.4890667177694048 1250
8.25 2.436479339050219e-35 3.270817356281601e-13 0.507778243493598 1458
9 3.219147110089243e-35 4.321498676981695e-13 0.4930866261046463 1814
9.75 4.266789909312979e-35 5.727891990536767e-13 0.5367287488711973 2178
10.5 4.753212659922919e-35 6.380883357810587e-13 0.4985861358321674 2498
11.25 5.271371880909611e-35 7.0764789027122e-13 0.5086638145310256 2622
12 6.296108221991249e-35 8.452121764270053e-13 0.4955751453065673 3191
12.75 6.21871106464151e-35 8.348221040954649e-13 0.5125251519525742 3044
13.5 5.586337154602257e-35 7.499299596196172e-13 0.5012424784711729 2736
14.25 4.553758436231771e-35 6.113128845761811e-13 0.4871041616174017 2276
15 4.423968482182771e-35 5.938894150852479e-13 0.5152514049121955 2016
15.75 3.578035952641084e-35 4.803283946563774e-13 0.5113870867140048 1640
16.5 2.158894548460362e-35 2.898177565626604e-13 0.4637392235585915 1056
17.25 1.480965647534984e-35 1.988101465263695e-13 0.4786610491429444 683
18 7.768181520195045e-36 1.042828582069734e-13 0.50097369488351 350
18.75 4.076273243487831e-36 5.472135576965044e-14 0.4588667016897994 192
19.5 8.681656164162804e-37 1.165456698421373e-14 0.3569553347063679 44
20.25 3.11024653370202e-37 4.175306632834642e-15 0.2355031203725355 25


0.75 -nan -nan -nan 18
1.5 -nan -nan -nan 62
2.25 -nan -nan -nan 98
3 -nan -nan -nan 210
3.75 -nan -nan -nan 350
4.5 -nan -nan -nan 450
5.25 -nan -nan -nan 602
6 -nan -nan -nan 762
6.75 -nan -nan -nan 1142
7.5 -nan -nan -nan 1250
8.25 -nan -nan -nan 1458
9 -nan -nan -nan 1814
9.75 -nan -nan -nan 2178
10.5 -nan -nan -nan 2498
11.25 -nan -nan -nan 2622
12 -nan -nan -nan 3191
12.75 -nan -nan -nan 3044
13.5 -nan -nan -nan 2736
14.25 -nan -nan -nan 2276
15 -nan -nan -nan 2016
15.75 -nan -nan -nan 1640
16.5 -nan -nan -nan 1056
17.25 -nan -nan -nan 683
18 -nan -nan -nan 350
18.75 -nan -nan -nan 192
19.5 -nan -nan -nan 44
20.25 -nan -nan -nan 25


0.75 -nan -nan -nan 18
1.5 -nan -nan -nan 62
2.25 -nan -nan -nan 98
3 -nan -nan -nan 210
3.75 -nan -nan -nan 350
4.5 -nan -nan -nan 450
5.25 -nan -nan -nan 602
6 -nan -nan -nan 762
6.75 -nan -nan -nan 1142
7.5 -nan -nan -nan 1250
8.25 -nan -nan -nan 1458
