0 0 0
2.99999999999996 1.40708764698287e-20 3.07160984350035e-22
5.99999999999989 7.53574985285721e-21 2.43168082156881e-23
9.00000000000001 4.90965350224295e-21 3.75797869619311e-24
12.0000000000005 1.49272501491317e-17 3.62384616182879e-21
15.0000000000009 1.29136783127712e-14 1.16309571721514e-18
18.0000000000007 1.06909464955665e-14 4.08262582235825e-19
21.0000000000001 7.07951610338678e-15 1.29190635109683e-19
23.9999999999995 5.32995586403673e-15 5.05747192292364e-20
26.9999999999989 5.39752525618755e-15 2.78682077301723e-20
29.9999999999983 4.57043071766277e-15 1.37420354229155e-20
32.9999999999984 2.91107836798929e-15 5.29748847967184e-21
36 3.01829926096806e-15 3.42766348087252e-21
39.0000000000015 2.54530819295662e-15 1.97042212756473e-21
42.000000000003 2.00104751878237e-15 1.02344424332355e-21
45.0000000000046 1.7964918765715e-15 6.49063762262919e-22
48.0000000000061 1.90033606892289e-15 4.364383695867e-22
51.0000000000076 1.6171599267708e-15 2.8587875304563e-22
54.0000000000092 1.07167580571764e-15 1.45721627851269e-22
57.0000000000107 1.43622924782436e-15 1.16520703515126e-22
60.0000000000122 1.12240873767245e-15 8.78053046094055e-23
63.0000000000138 1.02529547014052e-15 4.45307630171122e-23
66.0000000000125 1.24438201724042e-15 3.78145541112508e-23
69.0000000000097 1.10548401111283e-15 2.74059819242635e-23
72.000000000007 5.04255719354371e-16 1.60314692147138e-23
75.0000000000043 6.69785594119903e-16 1.26049034131455e-23
78.0000000000015 7.86688992161294e-16 8.32056228377946e-24
80.9999999999988 2.64540388841081e-16 6.5052400124576e-24
83.9999999999961 -nan -nan
86.9999999999934 -nan -nan
89.9999999999906 -nan -nan
92.9999999999879 -nan -nan
95.9999999999852 -nan -nan
98.9999999999824 -nan -nan
101.99999999998 -nan -nan
104.999999999977 -nan -nan
107.999999999974 -nan -nan
110.999999999972 -nan -nan
113.999999999969 -nan -nan
116.999999999966 -nan -nan
119.999999999963 -nan -nan
122.999999999961 -nan -nan
125.999999999958 -nan -nan
128.999999999955 -nan -nan
131.999999999952 -nan -nan
134.99999999995 -nan -nan
137.999999999947 -nan -nan
140.999999999944 -nan -nan
143.999999999942 -nan -nan
146.999999999939 -nan -nan
149.999999999936 -nan -nan
152.999999999933 -nan -nan
155.999999999931 -nan -nan
158.999999999928 -nan -nan
161.999999999925 -nan -nan
164.999999999922 -nan -nan
167.99999999992 -nan -nan
170.999999999917 -nan -nan
173.999999999914 -nan -nan
176.999999999912 -nan -nan
179.999999999909 -nan -nan
182.999999999906 -nan -nan
185.999999999903 -nan -nan
188.999999999901 -nan -nan
191.999999999898 -nan -nan
194.999999999895 -nan -nan
197.999999999892 -nan -nan
200.99999999989 -nan -nan
203.999999999887 -nan -nan
206.999999999884 -nan -nan
209.999999999882 -nan -nan
212.999999999879 -nan -nan
215.999999999876 -nan -nan
218.999999999873 -nan -nan
221.999999999871 -nan -nan
224.999999999868 -nan -nan
227.999999999865 -nan -nan
230.999999999862 -nan -nan
233.99999999986 -nan -nan
236.999999999857 -nan -nan
239.999999999854 -nan -nan
242.999999999851 -nan -nan
245.999999999849 -nan -nan
248.999999999846 -nan -nan
251.999999999843 -nan -nan
254.999999999841 -nan -nan
257.999999999838 -nan -nan
260.999999999835 -nan -nan
263.999999999832 -nan -nan
266.99999999983 -nan -nan
269.999999999827 -nan -nan
272.999999999824 -nan -nan
275.999999999822 -nan -nan
278.999999999819 -nan -nan
281.999999999816 -nan -nan
284.999999999813 -nan -nan
287.999999999811 -nan -nan
290.999999999808 -nan -nan
293.999999999805 -nan -nan
296.999999999802 -nan -nan
