0 0 0
2.99999999999998 3.15530182549471e-19 2.90983466749366e-21
5.99999999999992 1.57256690675934e-19 1.13965699786774e-22
8.99999999999985 1.702454024562e-19 2.07421617163674e-23
11.9999999999998 1.2533636806774e-19 4.0160583428902e-24
14.9999999999997 8.38092291572184e-20 8.98553059175345e-25
18 5.38316300109762e-20 2.30656354218702e-25
21.0000000000005 3.98057625275234e-20 6.94732675632949e-26
24.000000000001 2.19806835588731e-20 2.17684182642226e-26
27.0000000000014 2.27201068507285e-20 9.28831985946568e-27
30.0000000000019 3.20465375242986e-20 5.05394780982116e-27
33.000000000002 1.29363060112347e-20 2.59444042881357e-27
36.0000000000014 -nan -nan
39.0000000000008 -nan -nan
42.0000000000002 -nan -nan
44.9999999999996 -nan -nan
47.999999999999 -nan -nan
50.9999999999984 -nan -nan
53.9999999999978 -nan -nan
56.9999999999972 -nan -nan
59.9999999999966 -nan -nan
62.999999999996 -nan -nan
65.9999999999969 -nan -nan
68.9999999999984 -nan -nan
71.9999999999999 -nan -nan
75.0000000000015 -nan -nan
78.000000000003 -nan -nan
81.0000000000045 -nan -nan
84.0000000000061 -nan -nan
87.0000000000076 -nan -nan
90.0000000000091 -nan -nan
93.0000000000107 -nan -nan
96.0000000000122 -nan -nan
99.0000000000137 -nan -nan
102.000000000015 -nan -nan
105.000000000017 -nan -nan
108.000000000018 -nan -nan
111.00000000002 -nan -nan
114.000000000021 -nan -nan
117.000000000023 -nan -nan
120.000000000024 -nan -nan
123.000000000026 -nan -nan
126.000000000028 -nan -nan
129.000000000028 -nan -nan
132.000000000025 -nan -nan
135.000000000022 -nan -nan
138.000000000019 -nan -nan
141.000000000017 -nan -nan
144.000000000014 -nan -nan
147.000000000011 -nan -nan
150.000000000009 -nan -nan
153.000000000006 -nan -nan
156.000000000003 -nan -nan
159 -nan -nan
161.999999999998 -nan -nan
164.999999999995 -nan -nan
167.999999999992 -nan -nan
170.999999999989 -nan -nan
173.999999999987 -nan -nan
176.999999999984 -nan -nan
179.999999999981 -nan -nan
182.999999999979 -nan -nan
185.999999999976 -nan -nan
188.999999999973 -nan -nan
191.99999999997 -nan -nan
194.999999999968 -nan -nan
197.999999999965 -nan -nan
200.999999999962 -nan -nan
203.999999999959 -nan -nan
206.999999999957 -nan -nan
209.999999999954 -nan -nan
212.999999999951 -nan -nan
215.999999999949 -nan -nan
218.999999999946 -nan -nan
221.999999999943 -nan -nan
224.99999999994 -nan -nan
227.999999999938 -nan -nan
230.999999999935 -nan -nan
233.999999999932 -nan -nan
236.999999999929 -nan -nan
239.999999999927 -nan -nan
242.999999999924 -nan -nan
245.999999999921 -nan -nan
248.999999999919 -nan -nan
251.999999999916 -nan -nan
254.999999999913 -nan -nan
257.99999999991 -nan -nan
260.999999999908 -nan -nan
263.999999999905 -nan -nan
266.999999999902 -nan -nan
269.999999999899 -nan -nan
272.999999999897 -nan -nan
275.999999999894 -nan -nan
278.999999999891 -nan -nan
281.999999999889 -nan -nan
284.999999999886 -nan -nan
287.999999999883 -nan -nan
290.99999999988 -nan -nan
293.999999999878 -nan -nan
296.999999999875 -nan -nan
299.999999999872 -nan -nan
302.999999999869 -nan -nan
305.999999999867 -nan -nan
308.999999999864 -nan -nan
311.999999999861 -nan -nan
314.999999999859 -nan -nan
317.999999999856 -nan -nan
320.999999999853 -nan -nan
323.99999999985 -nan -nan
326.999999999848 -nan -nan
329.999999999845 -nan -nan
332.999999999842 -nan -nan
335.999999999839 -nan -nan
338.999999999837 -nan -nan
341.999999999834 -nan -nan
344.999999999831 -nan -nan
347.999999999829 -nan -nan
350.999999999826 -nan -nan
353.999999999823 -nan -nan
356.99999999982 -nan -nan
359.999999999818 -nan -nan
362.999999999815 -nan -nan
365.999999999812 -nan -nan
368.999999999809 -nan -nan
371.999999999807 -nan -nan
374.999999999804 -nan -nan
377.999999999801 -nan -nan
380.999999999798 -nan -nan
383.999999999796 -nan -nan
386.999999999793 -nan -nan
389.99999999979 -nan -nan
392.999999999788 -nan -nan
395.999999999785 -nan -nan
398.999999999782 -nan -nan
401.999999999779 -nan -nan
404.999999999777 -nan -nan
407.999999999774 -nan -nan
410.999999999771 -nan -nan
413.999999999768 -nan -nan
416.999999999766 -nan -nan
419.999999999763 -nan -nan
422.99999999976 -nan -nan
425.999999999758 -nan -nan
428.999999999755 -nan -nan
431.999999999752 -nan -nan
434.999999999749 -nan -nan
437.999999999747 -nan -nan
440.999999999744 -nan -nan
443.999999999741 -nan -nan
446.999999999738 -nan -nan
449.999999999736 -nan -nan
452.999999999733 -nan -nan
455.99999999973 -nan -nan
458.999999999728 -nan -nan
461.999999999725 -nan -nan
464.999999999722 -nan -nan
467.999999999719 -nan -nan
470.999999999717 -nan -nan
473.999999999714 -nan -nan
476.999999999711 -nan -nan
479.999999999708 -nan -nan
482.999999999706 -nan -nan
485.999999999703 -nan -nan
488.9999999997 -nan -nan
491.999999999698 -nan -nan
494.999999999695 -nan -nan
497.999999999692 -nan -nan
500.999999999689 -nan -nan
503.999999999687 -nan -nan
506.999999999684 -nan -nan
509.999999999681 -nan -nan
512.999999999678 -nan -nan
515.999999999676 -nan -nan
518.999999999673 -nan -nan
521.99999999967 -nan -nan
524.999999999668 -nan -nan
527.999999999665 -nan -nan
530.999999999662 -nan -nan
533.999999999659 -nan -nan
536.999999999657 -nan -nan
539.999999999654 -nan -nan
542.999999999651 -nan -nan
545.999999999648 -nan -nan
548.999999999646 -nan -nan
551.999999999643 -nan -nan
554.99999999964 -nan -nan
557.999999999638 -nan -nan
560.999999999635 -nan -nan
563.999999999632 -nan -nan
566.999999999629 -nan -nan
569.999999999627 -nan -nan
572.999999999624 -nan -nan
575.999999999621 -nan -nan
578.999999999618 -nan -nan
581.999999999616 -nan -nan
584.999999999613 -nan -nan
587.99999999961 -nan -nan
590.999999999608 -nan -nan
593.999999999605 -nan -nan
596.999999999602 -nan -nan
599.999999999599 -nan -nan
602.999999999597 -nan -nan
605.999999999594 -nan -nan
608.999999999591 -nan -nan
611.999999999588 -nan -nan
614.999999999586 -nan -nan
617.999999999583 -nan -nan
620.99999999958 -nan -nan
623.999999999578 -nan -nan
626.999999999575 -nan -nan
629.999999999572 -nan -nan
632.999999999569 -nan -nan
635.999999999567 -nan -nan
638.999999999564 -nan -nan
641.999999999561 -nan -nan
644.999999999558 -nan -nan
647.999999999556 -nan -nan
650.999999999553 -nan -nan
653.99999999955 -nan -nan
656.999999999548 -nan -nan
659.999999999545 -nan -nan
662.999999999542 -nan -nan
665.999999999539 -nan -nan
668.999999999537 -nan -nan
671.999999999534 -nan -nan
674.999999999531 -nan -nan
677.999999999528 -nan -nan
680.999999999526 -nan -nan
683.999999999523 -nan -nan
686.99999999952 -nan -nan
689.999999999518 -nan -nan
692.999999999515 -nan -nan
695.999999999512 -nan -nan
698.999999999509 -nan -nan
701.999999999507 -nan -nan
704.999999999504 -nan -nan
707.999999999501 -nan -nan
710.999999999498 -nan -nan
713.999999999496 -nan -nan
716.999999999493 -nan -nan
719.99999999949 -nan -nan
722.999999999487 -nan -nan
725.999999999485 -nan -nan
728.999999999482 -nan -nan
731.999999999479 -nan -nan
734.999999999477 -nan -nan
737.999999999474 -nan -nan
740.999999999471 -nan -nan
743.999999999468 -nan -nan
746.999999999466 -nan -nan
749.999999999463 -nan -nan
752.99999999946 -nan -nan
755.999999999457 -nan -nan
758.999999999455 -nan -nan
761.999999999452 -nan -nan
764.999999999449 -nan -nan
767.999999999447 -nan -nan
770.999999999444 -nan -nan
773.999999999441 -nan -nan
776.999999999438 -nan -nan
779.999999999436 -nan -nan
782.999999999433 -nan -nan
785.99999999943 -nan -nan
788.999999999427 -nan -nan
791.999999999425 -nan -nan
794.999999999422 -nan -nan
797.999999999419 -nan -nan
800.999999999417 -nan -nan
803.999999999414 -nan -nan
806.999999999411 -nan -nan
809.999999999408 -nan -nan
812.999999999406 -nan -nan
815.999999999403 -nan -nan
818.9999999994 -nan -nan
821.999999999397 -nan -nan
824.999999999395 -nan -nan
827.999999999392 -nan -nan
830.999999999389 -nan -nan
833.999999999387 -nan -nan
836.999999999384 -nan -nan
839.999999999381 -nan -nan
842.999999999378 -nan -nan
845.999999999376 -nan -nan
848.999999999373 -nan -nan
851.99999999937 -nan -nan
854.999999999367 -nan -nan
857.999999999365 -nan -nan
860.999999999362 -nan -nan
863.999999999359 -nan -nan
866.999999999357 -nan -nan
869.999999999354 -nan -nan
872.999999999351 -nan -nan
875.999999999348 -nan -nan
878.999999999346 -nan -nan
881.999999999343 -nan -nan
884.99999999934 -nan -nan
887.999999999337 -nan -nan
890.999999999335 -nan -nan
893.999999999332 -nan -nan
896.999999999329 -nan -nan
