0.75 0.0178609955565423 1.54838673440173 18
1.5 0.1300189055884749 30.66402376173084 62
2.25 0.3642343030662193 60.22565707438768 98
3 0.984334398997573 189.8989348258453 210
3.75 1.905712301411575 412.9277471143305 350
4.5 2.96278921227952 603.644148435402 450
5.25 4.245849465979436 1115.889643552493 602
6 6.264470938732795 1621.65940732467 762
6.75 10.95126660505602 2648.628537274031 1142
7.5 12.62466511569319 3320.743122667941 1250
8.25 16.49987450084241 4274.528523617365 1458
9 21.56646566555813 6500.009173983893 1814
9.75 28.55203283829043 8014.937447235217 2178
10.5 31.50456129305903 10446.15817793869 2498
11.25 36.45740587611136 11851.13695070318 2622
12 46.65407113609866 16789.89389897143 3338
12.75 55.25769645177366 20169.40716744565 3722
13.5 62.28721064627132 24940.17129594691 4170
14.25 69.87443563224268 28228.35080452246 4358
15 79.32560766552763 34634.04522914646 5034
15.75 92.0677718399439 43952.8991370843 5714
16.5 102.1457885731615 48113.45294746464 5982
17.25 114.2705027084575 57955.17522927463 6602
18 123.9137054308305 68042.16780643194 7130
18.75 138.0756703637036 80556.01947464133 8034
19.5 154.8802242222302 92436.42921422968 8606
20.25 163.0648680061499 103718.697877643 9066
21 182.8567291682991 120279.9704657044 9962
21.75 205.1821753806351 134543.7008010147 10550
22.5 214.7156926460792 151379.4941144729 11226
23.25 232.7726979549949 175302.0579344169 12146
24 236.7735430614212 182614.55287751 12303
24.75 240.721846217069 198740.5370989029 12584
25.5 232.3331825721524 199309.0337018261 12120
26.25 220.1807704458333 197086.6938105811 11180
27 221.3692937861903 200654.9078827907 11096
27.75 200.9095672986125 191928.0220010699 10056
28.5 194.8908594812559 192398.703000726 9716
29.25 175.2429911574506 185150.4633901001 8604
30 161.4597723737004 178846.911219834 8060
30.75 147.3063475873336 169767.4336033854 7320
31.5 127.5461388164614 153817.4958960305 6356
32.25 111.787232217262 127969.3918718739 5348
33 90.06909272969838 105634.1224924234 4308
33.75 74.61034048127954 91133.13095681345 3563
34.5 52.27418255067208 67177.58303822567 2448
35.25 40.7882410395013 49855.20995792852 1868
36 29.09172894257789 37757.41103699999 1358
36.75 20.24366993748134 31992.58788444095 1062
37.5 16.54596676503748 22958.04935821336 776
38.25 9.064507835825626 14252.52074533179 432
39 3.97163121866276 4973.783996984618 200
39.75 3.201029923902072 4414.253814976183 168
40.5 0.8864167253225356 977.4514338288159 56
41.25 0.1797809377255214 96.00910057837525 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
