0.75 0.01780572406971822 0.01122316974066862 18
1.5 0.05668706700035005 0.1684614031441112 62
2.25 0.07988746749423034 0.4883858879815478 98
3 0.2681667775978068 1.819058110430797 210
3.75 0.3810321145653909 5.413922855991181 350
4.5 0.5384586480749165 9.28790577311443 450
5.25 0.6081823349224826 16.5499651019793 602
6 0.8330634207491742 32.74735293614539 762
6.75 1.308149922162061 57.99257301480352 1142
7.5 1.439250535846242 76.99590204794103 1250
8.25 1.602214523409666 107.1045516468313 1458
9 1.9380538763355 158.4548665435341 1814
9.75 2.534621141473728 222.7899721349148 2178
10.5 2.789125372680135 310.8172327574521 2498
11.25 2.882285051514661 380.0462669903296 2622
12 3.858433273179817 513.9306175659143 3338
12.75 4.352515415260638 663.6628594079921 3722
13.5 4.845977869385742 845.3173075324769 4170
14.25 4.909585798557922 1018.705370694404 4358
15 5.727478835783439 1270.764194892331 5034
15.75 6.510491162365361 1554.339090045253 5714
16.5 6.735143820051558 1838.153458286372 5982
17.25 7.364433974838107 2245.858867305739 6602
18 8.190003540627842 2484.995061337769 7130
18.75 8.933418562576069 3155.943520612842 8034
19.5 9.714888819457528 3747.114794772961 8606
20.25 10.32526959403297 4143.159331076246 9066
21 11.23485696417132 4854.334054647969 9962
21.75 11.79059667235942 5602.694607313464 10550
22.5 12.68036830287133 6364.430016422093 11226
23.25 13.55916194786125 7265.620629053066 12146
24 13.87540627403962 7911.342748479348 12303
24.75 14.51818308375172 8441.128127118227 12584
25.5 14.08119603309351 8641.505904659611 12120
26.25 12.82214094973473 8463.550923490828 11180
27 12.70436800246199 8983.548083886366 11096
27.75 11.17693714529019 8552.363654773975 10056
28.5 10.90016624074757 8693.409080023366 9716
29.25 9.901943201789079 8188.579306846177 8604
30 9.202268131242498 7786.583923770215 8060
30.75 8.334259612910744 7389.886192144246 7320
31.5 7.377040942518641 6830.354844579932 6356
32.25 5.906017699361728 5816.819803299688 5348
33 4.872992533450159 4871.52114244829 4308
33.75 4.123504089795655 4201.516402179709 3563
34.5 2.760697258943709 3056.021027448974 2448
35.25 2.015603690523415 2508.472124489367 1868
36 1.509322573018718 1803.892734797434 1358
36.75 1.196332375101757 1433.485065729388 1062
37.5 0.9198885533430015 1181.029607602318 776
38.25 0.5543395585681399 653.0622853557833 432
39 0.2474491331999704 238.6841824282311 200
39.75 0.1840480408621446 235.9474213497941 168
40.5 0.09293554972061502 56.27975894428566 56
