0.75 7.227810633717763e-16 3.112248791057549e-15 18
1.5 3.440888046203957e-15 1.656710108172934e-14 62
2.25 8.673845346369173e-15 5.848922119146171e-14 98
3 1.848427900143139e-14 1.845029709601023e-13 210
3.75 3.291613946376282e-14 5.838036091503766e-13 350
4.5 4.586593111663621e-14 9.101310952587582e-13 450
5.25 6.202494726565143e-14 1.809685692304948e-12 602
6 7.652437108211815e-14 2.891734209267633e-12 762
6.75 1.169807555435977e-13 5.076757317577132e-12 1142
7.5 1.267479609530414e-13 7.203929361182036e-12 1250
8.25 1.503880057065359e-13 9.809725976172048e-12 1458
9 1.78909994553943e-13 1.547161050536916e-11 1814
9.75 2.166632275178871e-13 2.050759766724151e-11 2178
10.5 2.522550762704965e-13 2.846497395163205e-11 2498
11.25 2.723923717381052e-13 3.347527720214782e-11 2622
12 3.287016873708211e-13 4.789757543403423e-11 3338
12.75 3.762872381624505e-13 6.122245868003712e-11 3722
13.5 4.172850504118695e-13 7.759776595002511e-11 4170
14.25 4.421144440647841e-13 8.931244201595917e-11 4358
15 5.136844803330249e-13 1.170055126410267e-10 5034
15.75 5.587102173408218e-13 1.410319050812082e-10 5714
16.5 6.10199948647652e-13 1.622809968645199e-10 5982
17.25 6.617891176903395e-13 1.999710641737368e-10 6602
18 7.094258524768437e-13 2.389549117527815e-10 7130
18.75 8.130859412504973e-13 2.7961709696599e-10 8034
19.5 9.003201742142363e-13 3.247785611143316e-10 8606
20.25 8.987943156008273e-13 3.636340773869224e-10 9066
21 1.026368493796903e-12 4.459005704905153e-10 9962
21.75 1.054737518177513e-12 4.893728702070366e-10 10550
22.5 1.13890001702843e-12 5.746925680266046e-10 11226
23.25 1.223415044465196e-12 6.781203220300094e-10 12146
24 1.274833242129319e-12 7.089946913317514e-10 12303
24.75 1.289330225348308e-12 7.646243121956009e-10 12584
25.5 1.202763769284675e-12 7.950175884752828e-10 12120
26.25 1.148842753351425e-12 7.374189504981128e-10 11180
27 1.139981730900743e-12 8.210583205614272e-10 11096
27.75 1.041684814197043e-12 7.542612094238139e-10 10056
28.5 9.744833444874689e-13 7.890208626775603e-10 9716
29.25 8.670120971274567e-13 7.438922323780454e-10 8604
30 8.108253408585671e-13 7.122200862276478e-10 8060
30.75 7.582171863261285e-13 6.803264581002779e-10 7320
31.5 6.313122667996075e-13 6.235275720856888e-10 6356
32.25 5.602543542343011e-13 5.216557752204625e-10 5348
33 4.402017444805989e-13 4.44812574746949e-10 4308
33.75 3.771702190417481e-13 3.792545546121702e-10 3563
34.5 2.610804090206884e-13 2.829795783824671e-10 2448
35.25 1.912629822640055e-13 2.135395960577482e-10 1868
36 1.4798697691306e-13 1.622578197399171e-10 1358
36.75 1.04314039909686e-13 1.407593383709792e-10 1062
37.5 8.277869295575576e-14 9.612769464999526e-11 776
38.25 4.885763020408138e-14 6.190068375021151e-11 432
39 1.998843679551772e-14 2.44779950695713e-11 200
39.75 1.308166275966268e-14 2.242142821976142e-11 168
40.5 5.301558770783199e-15 6.907338044505876e-12 56
41.25 1.667606202210866e-15 2.088418277234754e-13 7


0.75 2.857950928302722e-10 3.176537795921446e-06 18
1.5 1.941849099922625e-09 2.141990326218317e-05 62
2.25 4.309157006507375e-09 4.828155788103895e-05 98
3 1.180132543476917e-08 0.0001314285581935816 210
3.75 2.256526176150475e-08 0.000246161418717568 350
4.5 3.069526960960617e-08 0.0003367704301153293 450
5.25 4.459582255383975e-08 0.0004694274641791694 602
6 5.484274555903398e-08 0.0005725039307746889 762
6.75 7.984954324676198e-08 0.0008335552526251657 1142
7.5 7.732953949655084e-08 0.0007844428107701514 1250
8.25 7.599836741664313e-08 0.0007506583924378705 1458
9 8.624200686730664e-08 0.000825708872337407 1814
9.75 8.394243994474009e-08 0.0007842513913742229 2178
10.5 7.434107729428305e-08 0.0006731324163391859 2498
11.25 6.444512114996333e-08 0.000559674555619885 2622
12 6.115550328280322e-08 0.0005137372724158378 3338
12.75 5.22256760137506e-08 0.0004183159368133556 3722
13.5 4.188116621978159e-08 0.0003219321086762866 4170
14.25 3.068769502884821e-08 0.0002244385009389235 4358
15 2.447599149405518e-08 0.0001709543873715386 5034
15.75 1.937003786132637e-08 0.0001279824658898612 5714
16.5 1.286279891628555e-08 8.048915676833713e-05 5982
17.25 9.211045580893008e-09 5.443502591116138e-05 6602
18 5.997095857914363e-09 3.363134443807962e-05 7130
18.75 4.267254911361653e-09 2.24264390736019e-05 8034
